WEP,r,k,Result
5,0.99,6,1.42326741558
5,0.99,7,1.42398919775
5,0.99,8,1.42420573241
5,0.99,9,1.4242706928
5,0.99,10,1.42429018092
6,0.88,1,1
6,0.88,2,1.0616
6,0.88,3,1.06598256
6,0.88,4,1.0662887465
6,0.88,5,1.06631018453
6,0.88,6,1.06631168515
6,0.88,7,1.06631179019
6,0.88,8,1.06631179755
6,0.88,9,1.06631179806
6,0.88,10,1.0663117981
6,0.89,1,1
6,0.89,2,1.0623
6,0.89,3,1.06672029
6,0.89,4,1.06702925377
6,0.89,5,1.06705088475
6,0.89,6,1.06705239889
6,0.89,7,1.06705250488
6,0.89,8,1.0670525123
6,0.89,9,1.06705251282
6,0.89,10,1.06705251285
6,0.9,1,1
6,0.9,2,1.063
6,0.9,3,1.067459
6,0.9,4,1.067770787
6,0.9,5,1.06779261449
6,0.9,6,1.0677941424
6,0.9,7,1.06779424935
6,0.9,8,1.06779425684
6,0.9,9,1.06779425736
6,0.9,10,1.0677942574
6,0.91,1,1
6,0.91,2,1.0637
6,0.91,3,1.06819869
6,0.91,4,1.06851334825
6,0.91,5,1.06853537591
6,0.91,6,1.06853691783
6,0.91,7,1.06853702577
6,0.91,8,1.06853703332
6,0.91,9,1.06853703385
6,0.91,10,1.06853703389
6,0.92,1,1
6,0.92,2,1.0644
6,0.92,3,1.06893936
6,0.92,4,1.06925693958
6,0.92,5,1.06927917114
6,0.92,6,1.06928072734
6,0.92,7,1.06928083628
6,0.92,8,1.0692808439
6,0.92,9,1.06928084444
6,0.92,10,1.06928084447
6,0.93,1,1
6,0.93,2,1.0651
6,0.93,3,1.06968101
6,0.93,4,1.07000156305
6,0.93,5,1.07002400234
6,0.93,6,1.07002557309
6,0.93,7,1.07002568304
6,0.93,8,1.07002569074
6,0.93,9,1.07002569128
6,0.93,10,1.07002569131
6,0.94,1,1
6,0.94,2,1.0658
6,0.94,3,1.07042364
6,0.94,4,1.07074722071
6,0.94,5,1.07076987167
6,0.94,6,1.07077145724
6,0.94,7,1.07077156823
6,0.94,8,1.070771576
6,0.94,9,1.07077157654
6,0.94,10,1.07077157658
6,0.95,1,1
6,0.95,2,1.0665
6,0.95,3,1.07116725
6,0.95,4,1.07149391463
6,0.95,5,1.0715167813
6,0.95,6,1.07151838197
6,0.95,7,1.07151849401
6,0.95,8,1.07151850186
6,0.95,9,1.0715185024
6,0.95,10,1.07151850244
6,0.96,1,1
6,0.96,2,1.0672
6,0.96,3,1.07191184
6,0.96,4,1.07224164685
6,0.96,5,1.07226473339
6,0.96,6,1.07226634945
6,0.96,7,1.07226646257
6,0.96,8,1.07226647049
6,0.96,9,1.07226647104
6,0.96,10,1.07226647108
6,0.97,1,1
6,0.97,2,1.0679
6,0.97,3,1.07265741
6,0.97,4,1.07299041944
6,0.97,5,1.07301373012
6,0.97,6,1.07301536187
6,0.97,7,1.07301547609
6,0.97,8,1.07301548408
6,0.97,9,1.07301548464
6,0.97,10,1.07301548468
6,0.98,1,1
6,0.98,2,1.0686
6,0.98,3,1.07340396
6,0.98,4,1.07374023446
6,0.98,5,1.07376377367
6,0.98,6,1.07376542142
6,0.98,7,1.07376553676
6,0.98,8,1.07376554483
6,0.98,9,1.0737655454
6,0.98,10,1.07376554544
6,0.99,1,1
6,0.99,2,1.0693
6,0.99,3,1.07415149
6,0.99,4,1.07449109396
6,0.99,5,1.07451486623
6,0.99,6,1.07451653029
6,0.99,7,1.07451664678
6,0.99,8,1.07451665493
6,0.99,9,1.0745166555
6,0.99,10,1.07451665554
7,0.88,1,1
7,0.88,2,1
7,0.88,3,1
7,0.88,4,1
7,0.88,5,1
7,0.88,6,1
7,0.88,7,1
7,0.88,8,1
7,0.88,9,1
7,0.88,10,1
7,0.89,1,1
7,0.89,2,1
7,0.89,3,1
7,0.89,4,1
7,0.89,5,1
7,0.89,6,1
7,0.89,7,1
7,0.89,8,1
7,0.89,9,1
7,0.89,10,1
7,0.9,1,1
7,0.9,2,1
7,0.9,3,1
7,0.9,4,1
7,0.9,5,1
7,0.9,6,1
7,0.9,7,1
7,0.9,8,1
7,0.9,9,1
7,0.9,10,1
7,0.91,1,1
7,0.91,2,1
7,0.91,3,1
7,0.91,4,1
7,0.91,5,1
7,0.91,6,1
7,0.91,7,1
7,0.91,8,1
7,0.91,9,1
7,0.91,10,1
7,0.92,1,1
7,0.92,2,1
7,0.92,3,1
7,0.92,4,1
7,0.92,5,1
7,0.92,6,1
7,0.92,7,1
7,0.92,8,1
7,0.92,9,1
7,0.92,10,1
7,0.93,1,1
7,0.93,2,1
7,0.93,3,1
7,0.93,4,1
7,0.93,5,1
7,0.93,6,1
7,0.93,7,1
7,0.93,8,1
7,0.93,9,1
7,0.93,10,1
7,0.94,1,1
7,0.94,2,1
7,0.94,3,1
7,0.94,4,1
7,0.94,5,1
7,0.94,6,1
7,0.94,7,1
7,0.94,8,1
7,0.94,9,1
7,0.94,10,1
7,0.95,1,1
7,0.95,2,1
7,0.95,3,1
7,0.95,4,1
7,0.95,5,1
7,0.95,6,1
7,0.95,7,1
7,0.95,8,1
7,0.95,9,1
7,0.95,10,1
7,0.96,1,1
7,0.96,2,1
7,0.96,3,1
7,0.96,4,1
7,0.96,5,1
7,0.96,6,1
7,0.96,7,1
7,0.96,8,1
7,0.96,9,1
7,0.96,10,1
7,0.97,1,1
7,0.97,2,1
7,0.97,3,1
7,0.97,4,1
7,0.97,5,1
7,0.97,6,1
7,0.97,7,1
7,0.97,8,1
7,0.97,9,1
7,0.97,10,1
7,0.98,1,1
7,0.98,2,1
7,0.98,3,1
7,0.98,4,1
7,0.98,5,1
7,0.98,6,1
7,0.98,7,1
7,0.98,8,1
7,0.98,9,1
7,0.98,10,1
7,0.99,1,1
7,0.99,2,1
7,0.99,3,1
7,0.99,4,1
7,0.99,5,1
7,0.99,6,1
7,0.99,7,1
7,0.99,8,1
7,0.99,9,1
7,0.99,10,1
