WEP,r,k,Result
5,0.93,8,2.96133286749
5,0.93,9,3.24170669928
5,0.93,10,3.52208053105
5,0.94,1,1
5,0.94,2,1.282
5,0.94,3,1.56508
5,0.94,4,1.8480952
5,0.94,5,2.131114288
5,0.94,6,2.41413314272
5,0.94,7,2.69715201144
5,0.94,8,2.98017087931
5,0.94,9,3.26318974724
5,0.94,10,3.54620861517
5,0.95,1,1
5,0.95,2,1.285
5,0.95,3,1.57075
5,0.95,4,1.8564625
5,0.95,5,2.142176875
5,0.95,6,2.42789115625
5,0.95,7,2.71360544219
5,0.95,8,2.99931972789
5,0.95,9,3.28503401361
5,0.95,10,3.57074829932
5,0.96,1,1
5,0.96,2,1.288
5,0.96,3,1.57648
5,0.96,4,1.8649408
5,0.96,5,2.153402368
5,0.96,6,2.44186390528
5,0.96,7,2.73032544379
5,0.96,8,3.01878698225
5,0.96,9,3.30724852071
5,0.96,10,3.59571005917
5,0.97,1,1
5,0.97,2,1.291
5,0.97,3,1.58227
5,0.97,4,1.8735319
5,0.97,5,2.164794043
5,0.97,6,2.45605617871
5,0.97,7,2.74731831464
5,0.97,8,3.03858045056
5,0.97,9,3.32984258648
5,0.97,10,3.62110472241
5,0.98,1,1
5,0.98,2,1.294
5,0.98,3,1.58812
5,0.98,4,1.8822376
5,0.98,5,2.176355248
5,0.98,6,2.47047289504
5,0.98,7,2.7645905421
5,0.98,8,3.05870818916
5,0.98,9,3.35282583622
5,0.98,10,3.64694348328
5,0.99,1,1
5,0.99,2,1.297
5,0.99,3,1.59403
5,0.99,4,1.8910597
5,0.99,5,2.188089403
5,0.99,6,2.48511910597
5,0.99,7,2.78214880894
5,0.99,8,3.07917851191
5,0.99,9,3.37620821488
5,0.99,10,3.67323791785
6,0.88,1,1
6,0.88,2,1.0616
6,0.88,3,1.124208
6,0.88,4,1.18669504
6,0.88,5,1.2491965952
6,0.88,6,1.31169640858
6,0.88,7,1.37419643097
6,0.88,8,1.43669642828
6,0.88,9,1.49919642861
6,0.88,10,1.56169642857
6,0.89,1,1
6,0.89,2,1.0623
6,0.89,3,1.125447
6,0.89,4,1.18850083
6,0.89,5,1.2515649087
6,0.89,6,1.31462786004
6,0.89,7,1.3776909354
6,0.89,8,1.44075399711
6,0.89,9,1.50381706032
6,0.89,10,1.56688012336
6,0.9,1,1
6,0.9,2,1.063
6,0.9,3,1.1267
6,0.9,4,1.19033
6,0.9,5,1.253967
6,0.9,6,1.3176033
6,0.9,7,1.38123967
6,0.9,8,1.444876033
6,0.9,9,1.5085123967
6,0.9,10,1.57214876033
6,0.91,1,1
6,0.91,2,1.0637
6,0.91,3,1.127967
6,0.91,4,1.19218297
6,0.91,5,1.2564035327
6,0.91,6,1.32062368206
6,0.91,7,1.38484386861
6,0.91,8,1.44906405182
6,0.91,9,1.51328423534
6,0.91,10,1.57750441882
6,0.92,1,1
6,0.92,2,1.0644
6,0.92,3,1.129248
6,0.92,4,1.19406016
6,0.92,5,1.2588751872
6,0.92,6,1.32368998502
6,0.92,7,1.3885048012
6,0.92,8,1.4533196159
6,0.92,9,1.51813443073
6,0.92,10,1.58294924554
6,0.93,1,1
6,0.93,2,1.0651
6,0.93,3,1.130543
6,0.93,4,1.19596199
6,0.93,5,1.2613826607
6,0.93,6,1.32680321375
6,0.93,7,1.39222377504
6,0.93,8,1.45764433575
6,0.93,9,1.5230648965
6,0.93,10,1.58848545725
6,0.94,1,1
6,0.94,2,1.0658
6,0.94,3,1.131852
6,0.94,4,1.19788888
6,0.94,5,1.2639266672
6,0.94,6,1.32996439997
6,0.94,7,1.396002136
6,0.94,8,1.46203987184
6,0.94,9,1.52807760769
6,0.94,10,1.59411534354
6,0.95,1,1
6,0.95,2,1.0665
6,0.95,3,1.133175
6,0.95,4,1.19984125
6,0.95,5,1.2665079375
6,0.95,6,1.33317460313
6,0.95,7,1.39984126984
6,0.95,8,1.46650793651
6,0.95,9,1.53317460317
6,0.95,10,1.59984126984
6,0.96,1,1
6,0.96,2,1.0672
6,0.96,3,1.134512
6,0.96,4,1.20181952
6,0.96,5,1.2691272192
6,0.96,6,1.33643491123
6,0.96,7,1.40374260355
6,0.96,8,1.47105029586
6,0.96,9,1.53835798817
6,0.96,10,1.60566568047
6,0.97,1,1
6,0.97,2,1.0679
6,0.97,3,1.135863
6,0.97,4,1.20382411
6,0.97,5,1.2717852767
6,0.97,6,1.3397464417
6,0.97,7,1.40770760675
6,0.97,8,1.4756687718
6,0.97,9,1.54362993685
6,0.97,10,1.61159110189
6,0.98,1,1
6,0.98,2,1.0686
6,0.98,3,1.137228
6,0.98,4,1.20585544
6,0.98,5,1.2744828912
6,0.98,6,1.34311034218
6,0.98,7,1.41173779316
6,0.98,8,1.48036524414
6,0.98,9,1.54899269512
6,0.98,10,1.6176201461
6,0.99,1,1
6,0.99,2,1.0693
6,0.99,3,1.138607
6,0.99,4,1.20791393
6,0.99,5,1.2772208607
6,0.99,6,1.34652779139
6,0.99,7,1.41583472209
6,0.99,8,1.48514165278
6,0.99,9,1.55444858347
6,0.99,10,1.62375551417
7,0.88,1,1
7,0.88,2,1
7,0.88,3,1
7,0.88,4,1
7,0.88,5,1
7,0.88,6,1
7,0.88,7,1
7,0.88,8,1
7,0.88,9,1
7,0.88,10,1
7,0.89,1,1
7,0.89,2,1
7,0.89,3,1
7,0.89,4,1
7,0.89,5,1
7,0.89,6,1
7,0.89,7,1
7,0.89,8,1
7,0.89,9,1
7,0.89,10,1
7,0.9,1,1
7,0.9,2,1
7,0.9,3,1
7,0.9,4,1
7,0.9,5,1
7,0.9,6,1
7,0.9,7,1
7,0.9,8,1
7,0.9,9,1
7,0.9,10,1
7,0.91,1,1
7,0.91,2,1
7,0.91,3,1
7,0.91,4,1
7,0.91,5,1
7,0.91,6,1
7,0.91,7,1
7,0.91,8,1
7,0.91,9,1
7,0.91,10,1
7,0.92,1,1
7,0.92,2,1
7,0.92,3,1
7,0.92,4,1
7,0.92,5,1
7,0.92,6,1
7,0.92,7,1
7,0.92,8,1
7,0.92,9,1
7,0.92,10,1
7,0.93,1,1
7,0.93,2,1
7,0.93,3,1
7,0.93,4,1
7,0.93,5,1
7,0.93,6,1
7,0.93,7,1
7,0.93,8,1
7,0.93,9,1
7,0.93,10,1
7,0.94,1,1
7,0.94,2,1
7,0.94,3,1
7,0.94,4,1
7,0.94,5,1
7,0.94,6,1
7,0.94,7,1
7,0.94,8,1
7,0.94,9,1
7,0.94,10,1
7,0.95,1,1
7,0.95,2,1
7,0.95,3,1
7,0.95,4,1
7,0.95,5,1
7,0.95,6,1
7,0.95,7,1
7,0.95,8,1
7,0.95,9,1
7,0.95,10,1
7,0.96,1,1
7,0.96,2,1
7,0.96,3,1
7,0.96,4,1
7,0.96,5,1
7,0.96,6,1
7,0.96,7,1
7,0.96,8,1
7,0.96,9,1
7,0.96,10,1
7,0.97,1,1
7,0.97,2,1
7,0.97,3,1
7,0.97,4,1
7,0.97,5,1
7,0.97,6,1
7,0.97,7,1
7,0.97,8,1
7,0.97,9,1
7,0.97,10,1
7,0.98,1,1
7,0.98,2,1
7,0.98,3,1
7,0.98,4,1
7,0.98,5,1
7,0.98,6,1
7,0.98,7,1
7,0.98,8,1
7,0.98,9,1
7,0.98,10,1
7,0.99,1,1
7,0.99,2,1
7,0.99,3,1
7,0.99,4,1
7,0.99,5,1
7,0.99,6,1
7,0.99,7,1
7,0.99,8,1
7,0.99,9,1
7,0.99,10,1
